"","desired_habitat","polygon_id","transect","pin_number","data_type","species_code","scientific_name","native_non_native","functional_group","layer","new_column"
"440","Mulefat Scrub","OW-M5",1,42,"T.PI","SAMNIG","Sambucus nigra ssp. caerulea","Native","Tree","Large Shrub/Tree","Large Shrub/Tree"
"441","Mulefat Scrub","OW-M5",1,43,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"442","Mulefat Scrub","OW-M5",1,44,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"443","Mulefat Scrub","OW-M5",1,45,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"444","Mulefat Scrub","OW-M5",1,46,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"445","Mulefat Scrub","OW-M5",1,47,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"446","Mulefat Scrub","OW-M5",1,48,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"447","Mulefat Scrub","OW-M5",1,49,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"448","Mulefat Scrub","OW-M5",1,50,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"449","Mulefat Scrub","OW-M5",1,4,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"450","Mulefat Scrub","OW-M5",1,6,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"451","Mulefat Scrub","OW-M5",1,14,"T.PI","MELIND","Melilotus indicus","Non-Native","Forb",".","."
"452","Mulefat Scrub","OW-M5",1,15,"T.PI","MELIND","Melilotus indicus","Non-Native","Forb",".","."
"453","Mulefat Scrub","OW-M5",1,16,"T.PI","CENMEL","Centaurea melitensis","Non-Native","Forb",".","."
"454","Mulefat Scrub","OW-M5",1,19,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"455","Mulefat Scrub","OW-M5",1,20,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"456","Mulefat Scrub","OW-M5",1,20,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"457","Mulefat Scrub","OW-M5",1,22,"T.PI","MELIND","Melilotus indicus","Non-Native","Forb",".","."
"458","Mulefat Scrub","OW-M5",1,27,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"459","Mulefat Scrub","OW-M5",1,29,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"460","Mulefat Scrub","OW-M5",1,29,"T.PI","MELIND","Melilotus indicus","Non-Native","Forb",".","."
"461","Mulefat Scrub","OW-M5",1,37,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"462","Mulefat Scrub","OW-M5",1,38,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"463","Mulefat Scrub","OW-M5",1,40,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"464","Mulefat Scrub","OW-M5",1,41,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"465","Mulefat Scrub","OW-M5",1,42,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"466","Mulefat Scrub","OW-M5",1,47,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"467","Mulefat Scrub","OW-M5",1,NA,"A.Belt","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"468","Mulefat Scrub","OW-M5",1,NA,"A.Belt","LACSER","Lactuca serriola","Non-Native","Forb",".","."
"469","Mulefat Scrub","OW-M5",1,NA,"A.Belt","HIRINC","Hirschfeldia incana","Non-Native","Forb",".","."
"470","Mulefat Scrub","OW-M5",1,NA,"A.Belt","SONOLE","Sonchus oleraceus","Non-Native","Forb",".","."
"471","Mulefat Scrub","OW-M5",1,NA,"A.Belt","CENMEL","Centaurea melitensis","Non-Native","Forb",".","."
"472","Mulefat Scrub","OW-M5",1,NA,"A.Belt","BRANIG","Brassica nigra","Non-Native","Forb",".","."
"473","Roadside buffer","5M BUFFER",3,1,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"474","Roadside buffer","5M BUFFER",3,2,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"475","Roadside buffer","5M BUFFER",3,3,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"476","Roadside buffer","5M BUFFER",3,4,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"477","Roadside buffer","5M BUFFER",3,5,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"478","Roadside buffer","5M BUFFER",3,6,"T.PI","BROHUR","Bromus hordeaceus","Non-Native","Grass",".","."
"479","Roadside buffer","5M BUFFER",3,7,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"480","Roadside buffer","5M BUFFER",3,8,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"481","Roadside buffer","5M BUFFER",3,9,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"482","Roadside buffer","5M BUFFER",3,10,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"483","Roadside buffer","5M BUFFER",3,11,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"484","Roadside buffer","5M BUFFER",3,12,"T.PI","MELIND","Melilotus indicus","Non-Native","Forb",".","."
"485","Roadside buffer","5M BUFFER",3,13,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"486","Roadside buffer","5M BUFFER",3,14,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"487","Roadside buffer","5M BUFFER",3,15,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"488","Roadside buffer","5M BUFFER",3,16,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"489","Roadside buffer","5M BUFFER",3,17,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"490","Roadside buffer","5M BUFFER",3,18,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"491","Roadside buffer","5M BUFFER",3,19,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"492","Roadside buffer","5M BUFFER",3,20,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"493","Roadside buffer","5M BUFFER",3,21,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"494","Roadside buffer","5M BUFFER",3,22,"T.PI","MALSAX","Malacothrix saxatilis","Native","Perennial Forb - Late Flowering","herb","herb"
"495","Roadside buffer","5M BUFFER",3,23,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"496","Roadside buffer","5M BUFFER",3,24,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"497","Roadside buffer","5M BUFFER",3,25,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"498","Roadside buffer","5M BUFFER",3,26,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"499","Roadside buffer","5M BUFFER",3,27,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"500","Roadside buffer","5M BUFFER",3,28,"T.PI","MALSAX","Malacothrix saxatilis","Native","Perennial Forb - Late Flowering","herb","herb"
"501","Roadside buffer","5M BUFFER",3,29,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"502","Roadside buffer","5M BUFFER",3,30,"T.PI","ACMGLA","Acmispon glaber","Native","Perennial Forb - Other","herb","herb"
"503","Roadside buffer","5M BUFFER",3,31,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"504","Roadside buffer","5M BUFFER",3,32,"T.PI","AMSMEN","Amsinckia menziesii var intermedia","Native","Annual Forb - Other","herb","herb"
"505","Roadside buffer","5M BUFFER",3,33,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"506","Roadside buffer","5M BUFFER",3,34,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"507","Roadside buffer","5M BUFFER",3,35,"T.PI","BROHUR","Bromus hordeaceus","Non-Native","Grass",".","."
"508","Roadside buffer","5M BUFFER",3,36,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"509","Roadside buffer","5M BUFFER",3,37,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"510","Roadside buffer","5M BUFFER",3,38,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"511","Roadside buffer","5M BUFFER",3,39,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"512","Roadside buffer","5M BUFFER",3,40,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"513","Roadside buffer","5M BUFFER",3,41,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"514","Roadside buffer","5M BUFFER",3,42,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"515","Roadside buffer","5M BUFFER",3,43,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"516","Roadside buffer","5M BUFFER",3,44,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"517","Roadside buffer","5M BUFFER",3,45,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"518","Roadside buffer","5M BUFFER",3,46,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"519","Roadside buffer","5M BUFFER",3,47,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"520","Roadside buffer","5M BUFFER",3,48,"T.PI","MALFAS","Malacothamnus fasciculatus","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"521","Roadside buffer","5M BUFFER",3,49,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"522","Roadside buffer","5M BUFFER",3,50,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"523","Roadside buffer","5M BUFFER",3,3,"T.PI","SOLSPP","Solanum spp.","Native","Annual Forb - Other","herb","herb"
"524","Roadside buffer","5M BUFFER",3,12,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"525","Roadside buffer","5M BUFFER",3,14,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"526","Roadside buffer","5M BUFFER",3,21,"T.PI","MELIND","Melilotus indicus","Non-Native","Forb",".","."
"527","Roadside buffer","5M BUFFER",3,22,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"528","Roadside buffer","5M BUFFER",3,27,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"529","Roadside buffer","5M BUFFER",3,29,"T.PI","MELIND","Melilotus indicus","Non-Native","Forb",".","."
"530","Roadside buffer","5M BUFFER",3,30,"T.PI","SALTRA","Salsola tragus","Non-Native","Forb",".","."
"531","Roadside buffer","5M BUFFER",3,32,"T.PI","GALANG","Galium angustifolium","Native","Perennial Forb - Other","herb","herb"
"532","Roadside buffer","5M BUFFER",3,35,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"533","Roadside buffer","5M BUFFER",3,35,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"534","Roadside buffer","5M BUFFER",3,35,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"535","Roadside buffer","5M BUFFER",3,36,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"536","Roadside buffer","5M BUFFER",3,36,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"537","Roadside buffer","5M BUFFER",3,36,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"538","Roadside buffer","5M BUFFER",3,37,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"539","Roadside buffer","5M BUFFER",3,38,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"540","Roadside buffer","5M BUFFER",3,43,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"541","Roadside buffer","5M BUFFER",3,36,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"542","Roadside buffer","5M BUFFER",3,37,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"543","Roadside buffer","5M BUFFER",3,38,"T.PI","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"544","Roadside buffer","5M BUFFER",3,50,"T.PI","ARTDOU","Artemisia douglasiana","Native","Perennial Forb - Late Flowering","herb","herb"
"545","Roadside buffer","5M BUFFER",3,NA,"A.Belt","SALCOL","Salvia columbariae","Native","Annual Forb - Other","herb","herb"
"546","Roadside buffer","5M BUFFER",3,NA,"A.Belt","ESCCAL","Eschscholzia californica","Native","Annual Forb - Other","herb","herb"
"547","Roadside buffer","5M BUFFER",3,NA,"A.Belt","SOLDOU","Solanum douglasii","Native","Perennial Forb - Late Flowering","herb","herb"
"548","Roadside buffer","5M BUFFER",3,NA,"A.Belt","DATWRI","Datura wrightii","Native","Perennial Forb - Late Flowering","herb","herb"
"549","Roadside buffer","5M BUFFER",3,NA,"A.Belt","ISOMEN","Isocoma menziesii","Native","Shrub - Late Flowering","shrub","shrub"
"550","Roadside buffer","5M BUFFER",3,NA,"A.Belt","EUCCHR","Eucrypta chrysanthemifolia","Native","Annual Forb - Other","herb","herb"
"551","Roadside buffer","5M BUFFER",3,NA,"A.Belt","ERICAN","Erigeron canadensis","Native","Annual Forb - Other","herb","herb"
"552","Roadside buffer","5M BUFFER",3,NA,"A.Belt","PHAPAR","Phacelia parryi","Native","Annual Forb - Other","herb","herb"
"553","Roadside buffer","5M BUFFER",3,NA,"A.Belt","CENMEL","Centaurea melitensis","Non-Native","Forb",".","."
"554","Roadside buffer","5M BUFFER",3,NA,"A.Belt","HIRINC","Hirschfeldia incana","Non-Native","Forb",".","."
"555","Roadside buffer","5M BUFFER",3,NA,"A.Belt","EROCIC","Erodium cicutarium","Non-Native","Forb",".","."
"556","Mulefat Scrub","OW-M3",1,1,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"557","Mulefat Scrub","OW-M3",1,2,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"558","Mulefat Scrub","OW-M3",1,3,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"559","Mulefat Scrub","OW-M3",1,4,"T.PI","BRANIG","Brassica nigra","Non-Native","Forb",".","."
"560","Mulefat Scrub","OW-M3",1,5,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"561","Mulefat Scrub","OW-M3",1,6,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"562","Mulefat Scrub","OW-M3",1,7,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"563","Mulefat Scrub","OW-M3",1,8,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"564","Mulefat Scrub","OW-M3",1,9,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"565","Mulefat Scrub","OW-M3",1,10,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"566","Mulefat Scrub","OW-M3",1,11,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"567","Mulefat Scrub","OW-M3",1,12,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"568","Mulefat Scrub","OW-M3",1,13,"T.PI","MELIND","Melilotus indicus","Non-Native","Forb",".","."
"569","Mulefat Scrub","OW-M3",1,14,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"570","Mulefat Scrub","OW-M3",1,15,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"571","Mulefat Scrub","OW-M3",1,16,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"572","Mulefat Scrub","OW-M3",1,17,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"573","Mulefat Scrub","OW-M3",1,18,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"574","Mulefat Scrub","OW-M3",1,19,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"575","Mulefat Scrub","OW-M3",1,20,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"576","Mulefat Scrub","OW-M3",1,21,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"577","Mulefat Scrub","OW-M3",1,22,"T.PI","MELIND","Melilotus indicus","Non-Native","Forb",".","."
"578","Mulefat Scrub","OW-M3",1,23,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"579","Mulefat Scrub","OW-M3",1,24,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"580","Mulefat Scrub","OW-M3",1,25,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"581","Mulefat Scrub","OW-M3",1,26,"T.PI","NoNatVeg","No Native Vegetation","No_Native",".",".","."
"582","Mulefat Scrub","OW-M3",1,27,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"583","Mulefat Scrub","OW-M3",1,28,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"584","Mulefat Scrub","OW-M3",1,29,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"585","Mulefat Scrub","OW-M3",1,30,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"586","Mulefat Scrub","OW-M3",1,31,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"587","Mulefat Scrub","OW-M3",1,32,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"588","Mulefat Scrub","OW-M3",1,33,"T.PI","BRANIG","Brassica nigra","Non-Native","Forb",".","."
"589","Mulefat Scrub","OW-M3",1,34,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"590","Mulefat Scrub","OW-M3",1,35,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"591","Mulefat Scrub","OW-M3",1,36,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"592","Mulefat Scrub","OW-M3",1,37,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"593","Mulefat Scrub","OW-M3",1,38,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"594","Mulefat Scrub","OW-M3",1,39,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"595","Mulefat Scrub","OW-M3",1,40,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"596","Mulefat Scrub","OW-M3",1,41,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"597","Mulefat Scrub","OW-M3",1,42,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"598","Mulefat Scrub","OW-M3",1,43,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"599","Mulefat Scrub","OW-M3",1,44,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"600","Mulefat Scrub","OW-M3",1,45,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"601","Mulefat Scrub","OW-M3",1,46,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"602","Mulefat Scrub","OW-M3",1,47,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"603","Mulefat Scrub","OW-M3",1,48,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"604","Mulefat Scrub","OW-M3",1,49,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"605","Mulefat Scrub","OW-M3",1,50,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"606","Mulefat Scrub","OW-M3",1,3,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"607","Mulefat Scrub","OW-M3",1,5,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"608","Mulefat Scrub","OW-M3",1,9,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"609","Mulefat Scrub","OW-M3",1,10,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"610","Mulefat Scrub","OW-M3",1,11,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"611","Mulefat Scrub","OW-M3",1,15,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"612","Mulefat Scrub","OW-M3",1,17,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"613","Mulefat Scrub","OW-M3",1,18,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"614","Mulefat Scrub","OW-M3",1,19,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"615","Mulefat Scrub","OW-M3",1,21,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"616","Mulefat Scrub","OW-M3",1,22,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"617","Mulefat Scrub","OW-M3",1,25,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"618","Mulefat Scrub","OW-M3",1,30,"T.PI","CROCAL","Croton californica","Native","Perennial Forb - Other","herb","herb"
"619","Mulefat Scrub","OW-M3",1,30,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"620","Mulefat Scrub","OW-M3",1,31,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"621","Mulefat Scrub","OW-M3",1,31,"T.PI","ARTDOU","Artemisia douglasiana","Native","Perennial Forb - Late Flowering","herb","herb"
"622","Mulefat Scrub","OW-M3",1,32,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"623","Mulefat Scrub","OW-M3",1,32,"T.PI","EROCIC","Erodium cicutarium","Non-Native","Forb",".","."
"624","Mulefat Scrub","OW-M3",1,33,"T.PI","ARTDRA","Artemisia dracunculus","Native","Perennial Forb - Late Flowering","herb","herb"
"625","Mulefat Scrub","OW-M3",1,33,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"626","Mulefat Scrub","OW-M3",1,34,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"627","Mulefat Scrub","OW-M3",1,34,"T.PI","FESMYU","Festuca myuros","Non-Native","Grass",".","."
"628","Mulefat Scrub","OW-M3",1,35,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"629","Mulefat Scrub","OW-M3",1,36,"T.PI","ARTCAL","Artemisia californica","Native","Shrub - Other","shrub","shrub"
"630","Mulefat Scrub","OW-M3",1,37,"T.PI","SALMEL","Salvia mellifera","Native","Shrub - Other","shrub","shrub"
"631","Mulefat Scrub","OW-M3",1,38,"T.PI","SALMEL","Salvia mellifera","Native","Shrub - Other","shrub","shrub"
"632","Mulefat Scrub","OW-M3",1,39,"T.PI","GALAPA","Galium aparine","Native","Annual Forb - Other","herb","herb"
"633","Mulefat Scrub","OW-M3",1,41,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"634","Mulefat Scrub","OW-M3",1,42,"T.PI","ERIFAS","Eriogonum fasciculatum","Native","Shrub - Late Flowering","shrub","shrub"
"635","Mulefat Scrub","OW-M3",1,43,"T.PI","SALMEL","Salvia mellifera","Native","Shrub - Other","shrub","shrub"
"636","Mulefat Scrub","OW-M3",1,47,"T.PI","BROMAD","Bromus madritensis","Non-Native","Grass",".","."
"637","Mulefat Scrub","OW-M3",1,48,"T.PI","HIRINC","Hirschfeldia incana","Non-Native","Forb",".","."
"638","Mulefat Scrub","OW-M3",1,49,"T.PI","BACSAL","Baccharis salicifolia","Native","Large Shrub","Large Shrub/Tree","Large Shrub/Tree"
"639","Mulefat Scrub","OW-M3",1,49,"T.PI","SALMEL","Salvia mellifera","Native","Shrub - Other","shrub","shrub"
"640","Mulefat Scrub","OW-M3",1,50,"T.PI","SALMEL","Salvia mellifera","Native","Shrub - Other","shrub","shrub"
"641","Mulefat Scrub","OW-M3",1,NA,"A.Belt","DEIFAS","Deinandra fasciculata","Native","Annual Forb - Late Flowering","herb","herb"
"642","Mulefat Scrub","OW-M3",1,NA,"A.Belt","PHACIC","Phacelia cicutaria","Native","Annual Forb - Other","herb","herb"
"643","Mulefat Scrub","OW-M3",1,NA,"A.Belt","AMBACA","Ambrosia acanthicarpa","Native","Annual Forb - Late Flowering","herb","herb"
"644","Mulefat Scrub","OW-M3",1,NA,"A.Belt","SALCOL","Salvia columbariae","Native","Annual Forb - Other","herb","herb"
"645","Mulefat Scrub","OW-M3",1,NA,"A.Belt","DEIFAS","Deinandra fasciculata","Native","Annual Forb - Late Flowering","herb","herb"
"646","Mulefat Scrub","OW-M3",1,NA,"A.Belt","ACMGLA","Acmispon glaber","Native","Perennial Forb - Other","herb","herb"
"647","Mulefat Scrub","OW-M3",1,NA,"A.Belt","CORRIG","Cordylanthus rigidus","Native","Annual Forb - Late Flowering","herb","herb"
"648","Mulefat Scrub","OW-M3",1,NA,"A.Belt","AMSMEN","Amsinckia menziesii var intermedia","Native","Annual Forb - Other","herb","herb"
"649","Mulefat Scrub","OW-M3",1,NA,"A.Belt","CENMEL","Centaurea melitensis","Non-Native","Forb",".","."
